lead_id,domain,final_url,http_status,bytes,page_count,fetch_status,error_detail
1615,equipement-bureaux.com,,,0,0,timeout,http: 
1617,tuojueautoparts.com,http://tuojueautoparts.com/,202,169,1,ok,https: 
1618,wewellhome.com,http://wewellhome.com/,503,114,1,ok,https: 
1620,samargallery.com,http://samargallery.com/,503,114,1,ok,https: 
1622,expodity.com,http://expodity.com/,403,5684,1,blocked,http_403
1624,inkcolorful.com,http://inkcolorful.com/,202,169,1,ok,https: 
1628,manata.co,http://manata.co/,503,114,1,ok,https: 
1630,albatlamakina.com,,,0,0,timeout,http: 
1631,davethan.tech,,,0,0,timeout,http: 
1632,misijaplus.rs,,,0,0,timeout,http: 
1634,chasingsmiles.org,,,0,0,timeout,http: 
1637,sabzfalaholive.com,http://sabzfalaholive.com/,503,114,1,ok,https: 
1642,americansolar.com.pk,,,0,0,timeout,http: 
1643,statachain.com,,,0,0,timeout,http: 
1644,sthavistah.com,,,0,0,timeout,http: 
1645,beermatprint.co.uk,,,0,0,timeout,http: 
1647,thestolenlamb.com,http://thestolenlamb.com/,200,236392,1,ok,https: 
1648,vbrandindia.com,,,0,0,timeout,http: 
1649,poolcare.com.mx,,,0,0,timeout,http: 
1650,apaladomiciliu.ro,,,0,0,timeout,http: 
1653,morocco-toptours.com,,,0,0,timeout,http: 
1655,nyx-healthsolution.com,,,0,0,timeout,http: 
1657,swedtraining.com,,,0,0,timeout,http: 
1658,joosteneventsupport.nl,,,0,0,timeout,http: 
1659,tapsplastics.com,http://tapsplastics.com/,202,170,1,ok,https: 
1660,bigwoodsbeef.com,,,0,0,timeout,http: 
1661,spectraintlfz.com,,,0,0,timeout,http: 
1662,limedlabs.in,,,0,0,timeout,http: 
1663,excultur.com.mx,,,0,0,timeout,http: 
1664,slnweathersystems.com,,,0,0,timeout,http: 
1666,trattoriatandoor.se,,,0,0,timeout,http: 
1668,kmglaw.co.ke,,,0,0,timeout,http: 
1670,speak-easy.ca,,,0,0,timeout,http: 
1671,toymaxx.co.uk,,,0,0,timeout,http: 
